步骤,损失,准确率,步骤准确率
264,13.374105,44.285714626312256,0.44285715
265,13.34492,42.85714328289032,0.42857143
266,13.640614,45.47618925571442,0.4547619
267,13.6692505,45.83333432674408,0.45833334
268,13.395031,44.404762983322144,0.44404763
269,12.832001,46.42857015132904,0.4642857
270,13.211399,44.999998807907104,0.45
271,12.978182,44.285714626312256,0.44285715
272,12.827999,48.452380299568176,0.4845238
273,12.992796,45.595237612724304,0.45595238
274,12.4535055,50.71428418159485,0.50714284
275,12.811537,46.90476059913635,0.4690476
276,12.84625,49.047619104385376,0.4904762
277,12.911047,45.71428596973419,0.45714286
278,12.120401,48.33333194255829,0.48333332
279,12.220949,48.452380299568176,0.4845238
280,12.510975,47.61904776096344,0.47619048
281,12.69525,47.261905670166016,0.47261906
282,12.421433,47.261905670166016,0.47261906
283,12.402048,48.09523820877075,0.48095238
284,12.583942,48.571428656578064,0.4857143
285,13.2073965,46.90476059913635,0.4690476
286,12.35171,50.952380895614624,0.5095238
287,12.500411,49.761903285980225,0.49761903
288,12.100081,49.88095164299011,0.49880952
289,11.486062,53.69047522544861,0.53690475
290,12.520109,46.54761850833893,0.46547619
291,11.827632,50.238096714019775,0.50238097
292,11.281817,52.14285850524902,0.5214286
293,11.500494,51.78571343421936,0.51785713
294,10.993372,52.85714268684387,0.5285714
295,11.450232,52.85714268684387,0.5285714
296,11.66947,49.88095164299011,0.49880952
297,11.166218,53.33333611488342,0.53333336
298,11.084476,51.547616720199585,0.51547617
299,10.867937,54.76190447807312,0.54761904
300,11.876821,49.52380955219269,0.4952381
301,11.517306,53.214287757873535,0.5321429
302,11.416911,51.07142925262451,0.5107143
303,10.332467,57.499998807907104,0.575
304,10.88617,56.42856955528259,0.5642857
305,10.405332,55.47618865966797,0.5547619
306,11.152018,53.33333611488342,0.53333336
307,10.748382,54.16666865348816,0.5416667
308,10.530806,56.904762983322144,0.56904763
309,11.375315,52.85714268684387,0.5285714
310,10.749612,54.64285612106323,0.54642856
311,10.581966,57.73809552192688,0.57738096
312,10.303681,58.571428060531616,0.5857143
313,11.339007,53.57142686843872,0.53571427
314,10.286828,56.190478801727295,0.5619048
315,11.031191,55.714285373687744,0.55714285
316,10.936542,55.35714030265808,0.5535714
317,11.383016,54.523807764053345,0.5452381
318,11.132502,54.523807764053345,0.5452381
319,11.025681,54.76190447807312,0.54761904
320,10.769815,55.714285373687744,0.55714285
321,11.105502,56.190478801727295,0.5619048
322,10.911277,56.54761791229248,0.5654762
323,10.676069,56.54761791229248,0.5654762
324,9.965525,55.83333373069763,0.55833334
325,11.341925,53.57142686843872,0.53571427
326,10.080908,57.499998807907104,0.575
327,10.875518,55.23809790611267,0.552381
328,9.924951,57.26190209388733,0.572619
329,11.087142,55.35714030265808,0.5535714
330,10.849587,56.42856955528259,0.5642857
331,11.121164,55.23809790611267,0.552381
332,9.715397,58.45237970352173,0.5845238
333,10.790018,55.95238208770752,0.5595238
334,10.7743635,55.83333373069763,0.55833334
335,9.655815,60.476189851760864,0.6047619
336,10.060867,59.16666388511658,0.59166664
337,9.508953,61.19047403335571,0.61190474
338,9.877221,57.85714387893677,0.57857144
339,9.232656,61.78571581840515,0.61785716
340,9.1592865,60.83333492279053,0.60833335
341,8.825683,63.333332538604736,0.6333333
342,9.713269,61.78571581840515,0.61785716
343,10.219643,59.40476059913635,0.5940476
344,10.031075,59.285712242126465,0.5928571
345,8.810607,62.261903285980225,0.62261903
346,9.225751,61.071425676345825,0.61071426
347,9.640569,60.1190447807312,0.60119045
348,9.244919,61.90476417541504,0.61904764
349,9.174313,59.761905670166016,0.59761906
350,9.427518,60.952383279800415,0.60952383
351,8.828769,63.57142925262451,0.6357143
352,8.86465,64.40476179122925,0.6440476
353,8.358173,64.04761672019958,0.64047617
354,9.256944,58.690476417541504,0.58690476
355,8.0572815,67.14285612106323,0.67142856
356,8.625761,62.97619342803955,0.62976193
357,9.27952,62.97619342803955,0.62976193
358,8.420092,63.333332538604736,0.6333333
359,9.255436,60.59523820877075,0.6059524
360,9.018191,65.1190459728241,0.65119046
361,8.923025,60.476189851760864,0.6047619
362,8.493097,64.16666507720947,0.64166665
363,9.280594,61.78571581840515,0.61785716
364,8.809263,62.38095164299011,0.6238095
